,healthy,multiple_diseases,rust,scab,class,image_id
285,0,0,1,0,2,Train_285
961,1,0,0,0,0,Train_961
1225,0,0,1,0,2,Train_1225
839,1,0,0,0,0,Train_839
913,0,0,1,0,2,Train_913
489,0,0,0,1,3,Train_489
235,0,0,0,1,3,Train_235
1512,0,0,1,0,2,Train_1512
830,0,0,1,0,2,Train_830
514,0,0,1,0,2,Train_514
972,0,0,0,1,3,Train_972
159,0,0,1,0,2,Train_159
1695,0,0,1,0,2,Train_1695
136,1,0,0,0,0,Train_136
1327,0,0,1,0,2,Train_1327
1393,0,0,0,1,3,Train_1393
736,0,0,0,1,3,Train_736
224,1,0,0,0,0,Train_224
273,1,0,0,0,0,Train_273
1035,0,1,0,0,1,Train_1035
250,0,0,0,1,3,Train_250
669,0,0,0,1,3,Train_669
72,1,0,0,0,0,Train_72
1537,0,0,0,1,3,Train_1537
34,0,0,1,0,2,Train_34
1406,0,0,1,0,2,Train_1406
1422,0,0,1,0,2,Train_1422
1698,1,0,0,0,0,Train_1698
1251,1,0,0,0,0,Train_1251
1661,1,0,0,0,0,Train_1661
1269,0,0,0,1,3,Train_1269
276,0,0,0,1,3,Train_276
354,0,0,0,1,3,Train_354
262,0,0,0,1,3,Train_262
451,0,0,1,0,2,Train_451
406,1,0,0,0,0,Train_406
851,0,0,0,1,3,Train_851
359,1,0,0,0,0,Train_359
798,0,0,1,0,2,Train_798
874,0,0,1,0,2,Train_874
1187,0,0,1,0,2,Train_1187
28,0,0,0,1,3,Train_28
1287,1,0,0,0,0,Train_1287
656,0,0,1,0,2,Train_656
703,1,0,0,0,0,Train_703
692,0,0,0,1,3,Train_692
1094,0,0,0,1,3,Train_1094
1759,0,0,0,1,3,Train_1759
557,0,0,1,0,2,Train_557
1346,0,0,0,1,3,Train_1346
1468,0,1,0,0,1,Train_1468
552,0,0,0,1,3,Train_552
1559,1,0,0,0,0,Train_1559
1803,1,0,0,0,0,Train_1803
459,0,0,0,1,3,Train_459
547,1,0,0,0,0,Train_547
1164,1,0,0,0,0,Train_1164
1151,1,0,0,0,0,Train_1151
963,1,0,0,0,0,Train_963
1587,1,0,0,0,0,Train_1587
614,0,0,0,1,3,Train_614
1004,1,0,0,0,0,Train_1004
185,0,0,0,1,3,Train_185
1457,1,0,0,0,0,Train_1457
247,1,0,0,0,0,Train_247
719,0,0,1,0,2,Train_719
561,0,0,0,1,3,Train_561
297,0,0,0,1,3,Train_297
808,0,0,0,1,3,Train_808
12,0,0,0,1,3,Train_12
1322,0,0,1,0,2,Train_1322
1814,1,0,0,0,0,Train_1814
1739,0,0,0,1,3,Train_1739
790,0,0,1,0,2,Train_790
985,0,0,1,0,2,Train_985
696,0,0,0,1,3,Train_696
1291,0,0,1,0,2,Train_1291
1776,1,0,0,0,0,Train_1776
1294,0,0,0,1,3,Train_1294
1740,0,0,1,0,2,Train_1740
841,0,0,1,0,2,Train_841
112,0,0,0,1,3,Train_112
1632,0,0,0,1,3,Train_1632
430,1,0,0,0,0,Train_430
1664,0,1,0,0,1,Train_1664
316,0,0,0,1,3,Train_316
1682,1,0,0,0,0,Train_1682
1596,0,0,1,0,2,Train_1596
603,1,0,0,0,0,Train_603
1083,0,0,0,1,3,Train_1083
499,0,0,1,0,2,Train_499
25,0,1,0,0,1,Train_25
899,0,0,0,1,3,Train_899
506,0,0,1,0,2,Train_506
314,0,0,1,0,2,Train_314
303,0,0,0,1,3,Train_303
1321,0,0,1,0,2,Train_1321
1779,0,1,0,0,1,Train_1779
227,1,0,0,0,0,Train_227
889,0,0,1,0,2,Train_889
888,0,0,1,0,2,Train_888
898,0,0,0,1,3,Train_898
475,1,0,0,0,0,Train_475
1101,1,0,0,0,0,Train_1101
178,0,0,1,0,2,Train_178
457,0,0,0,1,3,Train_457
1723,1,0,0,0,0,Train_1723
1771,0,0,1,0,2,Train_1771
223,0,0,1,0,2,Train_223
908,1,0,0,0,0,Train_908
191,0,0,0,1,3,Train_191
1566,0,0,1,0,2,Train_1566
1390,0,1,0,0,1,Train_1390
954,0,0,0,1,3,Train_954
1565,0,0,1,0,2,Train_1565
1492,0,0,1,0,2,Train_1492
60,0,0,1,0,2,Train_60
1772,0,0,1,0,2,Train_1772
520,0,0,0,1,3,Train_520
1805,0,0,1,0,2,Train_1805
1594,0,0,1,0,2,Train_1594
560,0,0,1,0,2,Train_560
1228,0,0,0,1,3,Train_1228
1616,1,0,0,0,0,Train_1616
1339,0,0,0,1,3,Train_1339
89,0,0,1,0,2,Train_89
234,0,0,0,1,3,Train_234
623,0,0,1,0,2,Train_623
519,0,0,1,0,2,Train_519
358,0,0,0,1,3,Train_358
106,0,0,0,1,3,Train_106
341,0,0,1,0,2,Train_341
1040,0,0,1,0,2,Train_1040
1329,0,0,0,1,3,Train_1329
469,0,0,1,0,2,Train_469
1746,0,0,1,0,2,Train_1746
320,1,0,0,0,0,Train_320
492,0,0,1,0,2,Train_492
1395,0,0,0,1,3,Train_1395
1082,1,0,0,0,0,Train_1082
282,1,0,0,0,0,Train_282
306,0,1,0,0,1,Train_306
551,1,0,0,0,0,Train_551
1211,0,0,0,1,3,Train_1211
681,0,0,0,1,3,Train_681
3,0,0,1,0,2,Train_3
1793,0,0,0,1,3,Train_1793
1143,0,0,0,1,3,Train_1143
1248,1,0,0,0,0,Train_1248
818,0,0,0,1,3,Train_818
840,0,0,1,0,2,Train_840
1161,0,1,0,0,1,Train_1161
787,0,0,0,1,3,Train_787
1747,0,0,0,1,3,Train_1747
960,1,0,0,0,0,Train_960
177,0,0,0,1,3,Train_177
220,1,0,0,0,0,Train_220
977,1,0,0,0,0,Train_977
510,0,0,1,0,2,Train_510
1696,0,0,0,1,3,Train_1696
575,0,0,1,0,2,Train_575
1307,0,0,1,0,2,Train_1307
1429,0,0,0,1,3,Train_1429
256,0,0,0,1,3,Train_256
1533,1,0,0,0,0,Train_1533
1032,0,0,0,1,3,Train_1032
1221,0,0,0,1,3,Train_1221
1534,0,0,0,1,3,Train_1534
731,1,0,0,0,0,Train_731
1293,0,0,0,1,3,Train_1293
508,0,0,1,0,2,Train_508
766,0,0,1,0,2,Train_766
836,0,0,1,0,2,Train_836
1331,0,0,0,1,3,Train_1331
633,0,0,1,0,2,Train_633
1063,0,0,1,0,2,Train_1063
1123,1,0,0,0,0,Train_1123
515,0,0,1,0,2,Train_515
700,0,0,1,0,2,Train_700
1160,1,0,0,0,0,Train_1160
689,0,0,1,0,2,Train_689
941,0,0,0,1,3,Train_941
271,1,0,0,0,0,Train_271
777,1,0,0,0,0,Train_777
604,0,0,0,1,3,Train_604
498,0,0,0,1,3,Train_498
1308,0,0,0,1,3,Train_1308
45,0,0,1,0,2,Train_45
156,0,0,1,0,2,Train_156
29,0,0,0,1,3,Train_29
370,0,0,0,1,3,Train_370
1633,1,0,0,0,0,Train_1633
408,0,0,1,0,2,Train_408
1034,1,0,0,0,0,Train_1034
1557,1,0,0,0,0,Train_1557
1667,1,0,0,0,0,Train_1667
687,0,0,1,0,2,Train_687
1319,0,0,1,0,2,Train_1319
1070,0,0,1,0,2,Train_1070
1178,0,0,0,1,3,Train_1178
1061,0,0,0,1,3,Train_1061
1535,0,0,1,0,2,Train_1535
464,0,0,1,0,2,Train_464
397,1,0,0,0,0,Train_397
566,1,0,0,0,0,Train_566
1154,0,0,1,0,2,Train_1154
189,0,0,0,1,3,Train_189
1298,0,0,0,1,3,Train_1298
1725,0,0,1,0,2,Train_1725
1073,0,0,1,0,2,Train_1073
222,0,0,0,1,3,Train_222
1171,1,0,0,0,0,Train_1171
1286,1,0,0,0,0,Train_1286
1111,0,0,1,0,2,Train_1111
759,0,0,1,0,2,Train_759
425,1,0,0,0,0,Train_425
554,0,0,1,0,2,Train_554
1350,0,0,0,1,3,Train_1350
1678,0,0,1,0,2,Train_1678
1273,0,0,0,1,3,Train_1273
816,0,0,1,0,2,Train_816
1317,0,0,0,1,3,Train_1317
70,1,0,0,0,0,Train_70
1214,1,0,0,0,0,Train_1214
1799,1,0,0,0,0,Train_1799
1019,0,0,1,0,2,Train_1019
1253,0,0,1,0,2,Train_1253
1516,0,0,1,0,2,Train_1516
825,0,0,1,0,2,Train_825
1484,0,0,0,1,3,Train_1484
1113,0,0,1,0,2,Train_1113
484,0,1,0,0,1,Train_484
682,0,1,0,0,1,Train_682
819,0,0,0,1,3,Train_819
900,0,0,1,0,2,Train_900
1754,0,0,0,1,3,Train_1754
1026,0,0,0,1,3,Train_1026
1310,0,1,0,0,1,Train_1310
1419,0,0,0,1,3,Train_1419
301,0,0,1,0,2,Train_301
170,0,1,0,0,1,Train_170
1105,0,0,1,0,2,Train_1105
1514,0,1,0,0,1,Train_1514
1328,1,0,0,0,0,Train_1328
1611,1,0,0,0,0,Train_1611
334,0,0,1,0,2,Train_334
605,1,0,0,0,0,Train_605
879,0,0,0,1,3,Train_879
717,0,0,0,1,3,Train_717
507,0,0,1,0,2,Train_507
1226,0,0,0,1,3,Train_1226
1368,1,0,0,0,0,Train_1368
1015,0,0,0,1,3,Train_1015
1077,0,0,0,1,3,Train_1077
1770,1,0,0,0,0,Train_1770
380,1,0,0,0,0,Train_380
355,0,0,0,1,3,Train_355
8,0,0,0,1,3,Train_8
706,0,0,1,0,2,Train_706
1051,0,0,1,0,2,Train_1051
721,0,0,0,1,3,Train_721
472,0,0,1,0,2,Train_472
1530,1,0,0,0,0,Train_1530
1744,0,0,0,1,3,Train_1744
333,0,0,1,0,2,Train_333
249,1,0,0,0,0,Train_249
0,0,0,0,1,3,Train_0
164,0,0,1,0,2,Train_164
785,0,0,0,1,3,Train_785
932,0,0,0,1,3,Train_932
1773,0,0,1,0,2,Train_1773
1576,0,0,1,0,2,Train_1576
144,1,0,0,0,0,Train_144
809,1,0,0,0,0,Train_809
1497,1,0,0,0,0,Train_1497
1544,0,0,0,1,3,Train_1544
1420,1,0,0,0,0,Train_1420
415,1,0,0,0,0,Train_415
885,1,0,0,0,0,Train_885
1579,0,0,1,0,2,Train_1579
347,0,0,1,0,2,Train_347
691,1,0,0,0,0,Train_691
1525,0,0,1,0,2,Train_1525
1531,0,1,0,0,1,Train_1531
77,1,0,0,0,0,Train_77
441,0,0,1,0,2,Train_441
906,0,0,0,1,3,Train_906
1315,0,0,0,1,3,Train_1315
673,0,0,0,1,3,Train_673
1444,0,0,0,1,3,Train_1444
957,0,0,1,0,2,Train_957
1585,1,0,0,0,0,Train_1585
530,0,0,0,1,3,Train_530
964,0,0,0,1,3,Train_964
1000,0,0,1,0,2,Train_1000
1734,1,0,0,0,0,Train_1734
1348,1,0,0,0,0,Train_1348
1425,0,0,1,0,2,Train_1425
1546,1,0,0,0,0,Train_1546
1361,0,0,0,1,3,Train_1361
773,1,0,0,0,0,Train_773
2,1,0,0,0,0,Train_2
1727,0,0,0,1,3,Train_1727
1640,0,0,1,0,2,Train_1640
538,0,0,0,1,3,Train_538
1724,1,0,0,0,0,Train_1724
53,1,0,0,0,0,Train_53
593,0,0,0,1,3,Train_593
55,1,0,0,0,0,Train_55
992,0,0,0,1,3,Train_992
861,0,0,0,1,3,Train_861
1254,1,0,0,0,0,Train_1254
671,1,0,0,0,0,Train_671
795,0,0,0,1,3,Train_795
1289,1,0,0,0,0,Train_1289
1243,0,0,0,1,3,Train_1243
1099,0,0,0,1,3,Train_1099
1009,0,0,0,1,3,Train_1009
955,0,0,0,1,3,Train_955
984,0,0,0,1,3,Train_984
1763,0,0,1,0,2,Train_1763
967,0,0,0,1,3,Train_967
6,0,1,0,0,1,Train_6
1155,0,0,0,1,3,Train_1155
1179,0,0,1,0,2,Train_1179
1119,0,1,0,0,1,Train_1119
1716,0,0,0,1,3,Train_1716
658,0,0,0,1,3,Train_658
1673,0,0,0,1,3,Train_1673
834,1,0,0,0,0,Train_834
1159,1,0,0,0,0,Train_1159
371,0,0,1,0,2,Train_371
252,0,0,0,1,3,Train_252
1010,0,0,0,1,3,Train_1010
275,0,0,1,0,2,Train_275
768,1,0,0,0,0,Train_768
1065,0,0,0,1,3,Train_1065
331,0,0,1,0,2,Train_331
445,0,0,1,0,2,Train_445
1334,0,0,0,1,3,Train_1334
329,1,0,0,0,0,Train_329
443,1,0,0,0,0,Train_443
225,0,0,1,0,2,Train_225
259,0,0,1,0,2,Train_259
1312,0,0,0,1,3,Train_1312
597,1,0,0,0,0,Train_597
165,0,0,1,0,2,Train_165
51,0,0,0,1,3,Train_51
638,0,0,0,1,3,Train_638
1357,1,0,0,0,0,Train_1357
385,0,0,1,0,2,Train_385
466,1,0,0,0,0,Train_466
1023,0,0,1,0,2,Train_1023
1670,1,0,0,0,0,Train_1670
1372,1,0,0,0,0,Train_1372
555,0,0,0,1,3,Train_555
481,0,0,1,0,2,Train_481
1807,1,0,0,0,0,Train_1807
1122,0,0,1,0,2,Train_1122
831,0,0,0,1,3,Train_831
442,0,0,0,1,3,Train_442
1049,0,0,0,1,3,Train_1049
496,1,0,0,0,0,Train_496
697,0,0,1,0,2,Train_697
686,0,0,0,1,3,Train_686
81,0,0,1,0,2,Train_81
11,0,0,0,1,3,Train_11
800,1,0,0,0,0,Train_800
867,0,0,1,0,2,Train_867
880,1,0,0,0,0,Train_880
1556,1,0,0,0,0,Train_1556
294,0,0,1,0,2,Train_294
707,0,0,1,0,2,Train_707
1232,0,0,0,1,3,Train_1232
1443,0,0,1,0,2,Train_1443
1653,1,0,0,0,0,Train_1653
1207,0,0,1,0,2,Train_1207
181,0,0,1,0,2,Train_181
1474,1,0,0,0,0,Train_1474
127,0,0,0,1,3,Train_127
993,0,0,0,1,3,Train_993
1460,0,0,0,1,3,Train_1460
1599,0,0,1,0,2,Train_1599
38,0,0,1,0,2,Train_38
1447,1,0,0,0,0,Train_1447
987,0,0,1,0,2,Train_987
1030,0,0,1,0,2,Train_1030
340,0,0,1,0,2,Train_340
299,0,0,1,0,2,Train_299
27,0,0,0,1,3,Train_27
1708,0,1,0,0,1,Train_1708
676,1,0,0,0,0,Train_676
1440,1,0,0,0,0,Train_1440
1794,1,0,0,0,0,Train_1794
1203,0,0,0,1,3,Train_1203
1448,0,0,0,1,3,Train_1448
412,1,0,0,0,0,Train_412
391,0,1,0,0,1,Train_391
206,0,0,1,0,2,Train_206
1669,1,0,0,0,0,Train_1669
114,0,0,1,0,2,Train_114
277,0,0,1,0,2,Train_277
182,0,0,0,1,3,Train_182
194,0,0,1,0,2,Train_194
1677,0,0,1,0,2,Train_1677
1403,0,0,0,1,3,Train_1403
327,0,0,1,0,2,Train_327
1233,0,0,1,0,2,Train_1233
516,0,0,1,0,2,Train_516
263,1,0,0,0,0,Train_263
762,0,1,0,0,1,Train_762
1686,0,0,1,0,2,Train_1686
32,0,0,0,1,3,Train_32
1745,0,0,1,0,2,Train_1745
179,1,0,0,0,0,Train_179
1003,0,0,0,1,3,Train_1003
882,1,0,0,0,0,Train_882
421,1,0,0,0,0,Train_421
300,1,0,0,0,0,Train_300
251,0,0,0,1,3,Train_251
951,1,0,0,0,0,Train_951
233,0,0,1,0,2,Train_233
1634,1,0,0,0,0,Train_1634
193,0,0,1,0,2,Train_193
133,0,0,1,0,2,Train_133
598,0,0,1,0,2,Train_598
923,1,0,0,0,0,Train_923
1645,0,0,0,1,3,Train_1645
953,1,0,0,0,0,Train_953
315,0,0,0,1,3,Train_315
1136,0,0,0,1,3,Train_1136
1790,0,0,1,0,2,Train_1790
368,0,0,1,0,2,Train_368
572,1,0,0,0,0,Train_572
110,0,0,0,1,3,Train_110
1045,0,0,0,1,3,Train_1045
361,0,0,0,1,3,Train_361
1735,1,0,0,0,0,Train_1735
479,0,0,1,0,2,Train_479
204,0,0,0,1,3,Train_204
1473,0,0,0,1,3,Train_1473
1156,0,0,0,1,3,Train_1156
7,0,0,0,1,3,Train_7
1039,1,0,0,0,0,Train_1039
654,0,0,1,0,2,Train_654
115,0,0,1,0,2,Train_115
1157,0,0,0,1,3,Train_1157
569,1,0,0,0,0,Train_569
1239,1,0,0,0,0,Train_1239
1332,0,0,1,0,2,Train_1332
284,0,0,1,0,2,Train_284
1311,0,0,1,0,2,Train_1311
50,0,0,1,0,2,Train_50
1785,0,0,1,0,2,Train_1785
1577,0,1,0,0,1,Train_1577
528,0,0,0,1,3,Train_528
1791,0,0,1,0,2,Train_1791
745,0,0,1,0,2,Train_745
1743,0,0,1,0,2,Train_1743
1202,0,0,0,1,3,Train_1202
427,1,0,0,0,0,Train_427
1550,0,0,0,1,3,Train_1550
85,0,0,0,1,3,Train_85
214,0,0,0,1,3,Train_214
501,0,0,1,0,2,Train_501
99,1,0,0,0,0,Train_99
812,1,0,0,0,0,Train_812
1552,1,0,0,0,0,Train_1552
1684,0,0,1,0,2,Train_1684
1506,0,0,0,1,3,Train_1506
79,0,0,0,1,3,Train_79
926,0,0,0,1,3,Train_926
1622,0,0,0,1,3,Train_1622
107,0,0,0,1,3,Train_107
1324,0,0,1,0,2,Train_1324
209,0,0,0,1,3,Train_209
1541,1,0,0,0,0,Train_1541
1607,0,0,1,0,2,Train_1607
1519,0,0,0,1,3,Train_1519
420,1,0,0,0,0,Train_420
1758,0,0,0,1,3,Train_1758
1288,0,0,0,1,3,Train_1288
1345,0,0,0,1,3,Train_1345
1247,1,0,0,0,0,Train_1247
628,0,0,0,1,3,Train_628
338,0,1,0,0,1,Train_338
757,0,0,0,1,3,Train_757
1186,1,0,0,0,0,Train_1186
58,0,0,1,0,2,Train_58
525,1,0,0,0,0,Train_525
452,1,0,0,0,0,Train_452
124,0,0,1,0,2,Train_124
1639,0,0,0,1,3,Train_1639
866,1,0,0,0,0,Train_866
268,0,0,0,1,3,Train_268
96,0,0,1,0,2,Train_96
672,0,0,1,0,2,Train_672
1258,0,0,0,1,3,Train_1258
1641,0,1,0,0,1,Train_1641
980,1,0,0,0,0,Train_980
1583,1,0,0,0,0,Train_1583
1689,0,0,1,0,2,Train_1689
438,1,0,0,0,0,Train_438
1409,0,0,1,0,2,Train_1409
1722,0,0,1,0,2,Train_1722
1305,0,0,0,1,3,Train_1305
624,0,0,0,1,3,Train_624
1025,0,0,0,1,3,Train_1025
909,1,0,0,0,0,Train_909
332,0,0,0,1,3,Train_332
145,0,0,0,1,3,Train_145
1792,0,0,1,0,2,Train_1792
1340,0,0,1,0,2,Train_1340
1199,1,0,0,0,0,Train_1199
1597,1,0,0,0,0,Train_1597
1379,0,0,1,0,2,Train_1379
433,1,0,0,0,0,Train_433
511,0,0,1,0,2,Train_511
1098,0,0,0,1,3,Train_1098
1370,0,0,1,0,2,Train_1370
1815,0,1,0,0,1,Train_1815
390,0,0,1,0,2,Train_390
1766,0,0,1,0,2,Train_1766
253,0,0,0,1,3,Train_253
1810,1,0,0,0,0,Train_1810
931,0,0,1,0,2,Train_931
500,0,0,1,0,2,Train_500
1190,0,0,0,1,3,Train_1190
978,0,0,1,0,2,Train_978
871,0,0,0,1,3,Train_871
1191,0,0,1,0,2,Train_1191
820,0,0,0,1,3,Train_820
1261,1,0,0,0,0,Train_1261
1774,1,0,0,0,0,Train_1774
532,1,0,0,0,0,Train_532
319,0,0,0,1,3,Train_319
254,0,0,1,0,2,Train_254
108,0,0,1,0,2,Train_108
894,0,0,0,1,3,Train_894
524,0,0,0,1,3,Train_524
1630,0,0,1,0,2,Train_1630
19,0,0,0,1,3,Train_19
10,0,0,1,0,2,Train_10
292,0,0,0,1,3,Train_292
1375,0,0,0,1,3,Train_1375
536,0,0,1,0,2,Train_536
975,0,0,1,0,2,Train_975
1282,1,0,0,0,0,Train_1282
1306,1,0,0,0,0,Train_1306
1539,1,0,0,0,0,Train_1539
152,0,0,0,1,3,Train_152
1397,1,0,0,0,0,Train_1397
1522,0,0,0,1,3,Train_1522
770,0,0,0,1,3,Train_770
574,0,0,1,0,2,Train_574
141,0,0,1,0,2,Train_141
1349,1,0,0,0,0,Train_1349
318,0,0,1,0,2,Train_318
497,0,0,1,0,2,Train_497
1609,0,1,0,0,1,Train_1609
1006,0,0,0,1,3,Train_1006
366,1,0,0,0,0,Train_366
1031,1,0,0,0,0,Train_1031
1176,1,0,0,0,0,Train_1176
1102,0,0,1,0,2,Train_1102
582,0,0,1,0,2,Train_582
521,0,0,0,1,3,Train_521
556,0,0,0,1,3,Train_556
1118,0,0,1,0,2,Train_1118
994,0,0,0,1,3,Train_994
890,1,0,0,0,0,Train_890
918,1,0,0,0,0,Train_918
1629,0,0,1,0,2,Train_1629
121,0,0,1,0,2,Train_121
432,1,0,0,0,0,Train_432
172,0,0,0,1,3,Train_172
884,0,0,1,0,2,Train_884
1662,0,1,0,0,1,Train_1662
997,0,0,0,1,3,Train_997
150,0,0,0,1,3,Train_150
1476,1,0,0,0,0,Train_1476
1380,1,0,0,0,0,Train_1380
309,0,0,0,1,3,Train_309
896,1,0,0,0,0,Train_896
92,0,0,1,0,2,Train_92
1364,0,0,1,0,2,Train_1364
200,0,0,0,1,3,Train_200
823,0,0,0,1,3,Train_823
1464,0,0,0,1,3,Train_1464
647,0,0,1,0,2,Train_647
1196,0,0,1,0,2,Train_1196
1603,0,0,1,0,2,Train_1603
69,0,0,1,0,2,Train_69
833,1,0,0,0,0,Train_833
1671,0,0,1,0,2,Train_1671
1132,0,0,0,1,3,Train_1132
1679,0,0,1,0,2,Train_1679
690,0,0,1,0,2,Train_690
1127,0,0,0,1,3,Train_1127
116,0,0,0,1,3,Train_116
325,0,0,0,1,3,Train_325
244,0,0,1,0,2,Train_244
601,1,0,0,0,0,Train_601
278,1,0,0,0,0,Train_278
1656,1,0,0,0,0,Train_1656
939,1,0,0,0,0,Train_939
526,1,0,0,0,0,Train_526
998,0,0,0,1,3,Train_998
621,1,0,0,0,0,Train_621
1619,0,0,0,1,3,Train_1619
709,0,0,0,1,3,Train_709
856,0,0,0,1,3,Train_856
126,0,0,1,0,2,Train_126
666,0,0,1,0,2,Train_666
143,0,0,0,1,3,Train_143
1714,0,0,1,0,2,Train_1714
1316,0,0,1,0,2,Train_1316
832,0,0,1,0,2,Train_832
905,0,1,0,0,1,Train_905
435,0,0,1,0,2,Train_435
59,0,0,1,0,2,Train_59
1029,0,0,1,0,2,Train_1029
1290,0,0,1,0,2,Train_1290
1131,1,0,0,0,0,Train_1131
1043,1,0,0,0,0,Train_1043
1200,0,0,1,0,2,Train_1200
411,0,0,1,0,2,Train_411
342,0,0,1,0,2,Train_342
1182,0,0,0,1,3,Train_1182
848,0,0,1,0,2,Train_848
1104,0,0,0,1,3,Train_1104
1135,0,0,0,1,3,Train_1135
1411,0,0,0,1,3,Train_1411
1229,0,0,1,0,2,Train_1229
491,1,0,0,0,0,Train_491
1540,0,0,1,0,2,Train_1540
104,0,1,0,0,1,Train_104
78,0,0,0,1,3,Train_78
712,0,0,1,0,2,Train_712
1704,0,0,0,1,3,Train_1704
1459,1,0,0,0,0,Train_1459
1674,0,0,1,0,2,Train_1674
843,0,0,1,0,2,Train_843
1528,1,0,0,0,0,Train_1528
1438,1,0,0,0,0,Train_1438
1378,0,0,1,0,2,Train_1378
887,1,0,0,0,0,Train_887
473,0,0,0,1,3,Train_473
1028,0,1,0,0,1,Train_1028
667,0,0,1,0,2,Train_667
192,0,0,0,1,3,Train_192
1719,0,0,0,1,3,Train_1719
261,1,0,0,0,0,Train_261
675,1,0,0,0,0,Train_675
453,0,0,1,0,2,Train_453
1709,0,0,1,0,2,Train_1709
942,1,0,0,0,0,Train_942
1150,0,0,1,0,2,Train_1150
307,1,0,0,0,0,Train_307
1508,1,0,0,0,0,Train_1508
701,1,0,0,0,0,Train_701
458,0,0,1,0,2,Train_458
540,0,0,0,1,3,Train_540
645,0,1,0,0,1,Train_645
1008,0,0,0,1,3,Train_1008
350,0,0,1,0,2,Train_350
1638,0,0,0,1,3,Train_1638
1479,1,0,0,0,0,Train_1479
513,0,0,1,0,2,Train_513
422,0,0,1,0,2,Train_422
1555,1,0,0,0,0,Train_1555
746,1,0,0,0,0,Train_746
767,0,0,1,0,2,Train_767
718,0,0,1,0,2,Train_718
1355,1,0,0,0,0,Train_1355
1210,1,0,0,0,0,Train_1210
1614,1,0,0,0,0,Train_1614
602,0,1,0,0,1,Train_602
581,0,0,0,1,3,Train_581
228,0,0,1,0,2,Train_228
1423,0,0,1,0,2,Train_1423
175,1,0,0,0,0,Train_175
321,0,0,1,0,2,Train_321
1255,0,0,1,0,2,Train_1255
1657,0,0,1,0,2,Train_1657
1688,0,0,0,1,3,Train_1688
1129,0,1,0,0,1,Train_1129
1341,1,0,0,0,0,Train_1341
512,0,0,1,0,2,Train_512
789,0,0,1,0,2,Train_789
1249,0,0,0,1,3,Train_1249
881,1,0,0,0,0,Train_881
1050,0,1,0,0,1,Train_1050
429,0,0,0,1,3,Train_429
109,0,0,1,0,2,Train_109
1277,1,0,0,0,0,Train_1277
869,0,0,0,1,3,Train_869
1314,0,0,1,0,2,Train_1314
1337,0,0,0,1,3,Train_1337
822,0,0,1,0,2,Train_822
844,0,0,0,1,3,Train_844
1013,0,1,0,0,1,Train_1013
231,0,1,0,0,1,Train_231
49,0,0,0,1,3,Train_49
75,0,0,1,0,2,Train_75
1167,0,0,0,1,3,Train_1167
470,0,0,0,1,3,Train_470
639,0,0,1,0,2,Train_639
1318,0,0,1,0,2,Train_1318
